developer,model,CTC_M,bar_sigma2,sigma2_t1,sigma2_t2,sigma2_t3
Anthropic,claude-3-7-sonnet-20250219,0.8846956418052824,5.599959935897437,4.230769230769232,5.032051282051283,5.599959935897437
xAI,grok-3-mini-fast-latest,0.8711820522669393,23.468549679487197,23.468549679487197,15.801282051282055,22.066306089743584
OpenAI,gpt-4o,0.8091107520480768,11.777844551282044,11.777844551282044,6.490384615384616,10.320512820512814
OpenAI,gpt-4.1,0.7833419631629552,13.540665064102605,13.540665064102605,4.803685897435904,13.476562500000023
xAI,grok-3-fast-latest,0.7746616345653307,30.78525641025641,23.99739583333334,16.76181891025642,30.78525641025641
xAI,grok-3-latest,0.7725435323383082,30.064102564102576,19.78265224358975,19.830729166666643,30.064102564102576
xAI,grok-3-mini-latest,0.757760416666667,19.23076923076921,15.721153846153843,8.76502403846153,19.23076923076921
OpenAI,gpt-4.1-mini,0.7503890445066917,9.654447115384613,6.149839743589742,5.929487179487182,9.654447115384613
DeepSeek,DeepSeek-V3-0324,0.7281424936386767,16.401241987179493,16.401241987179493,3.997395833333334,15.428685897435894
Google,gemini-2.0-pro-exp,0.7044322344322342,5.642361111111116,5.642361111111116,3.9899553571428585,2.291666666666667
OpenAI,o1-mini,0.6788201648128567,74.83072916666667,45.58894230769231,31.970152243589748,74.83072916666667
Google,gemma-3-4b-it,0.6772565310846567,32.30769230769229,22.931690705128233,10.402403846153854,32.30769230769229
Meta,Llama-3.3-70B-Instruct-Turbo,0.67512077294686,17.692307692307693,6.98717948717949,11.153846153846159,17.692307692307693
Google,gemini-2.5-flash-preview-04-17,0.6500623750493802,59.73457532051282,40.91205018939394,15.846974206349202,59.73457532051282
OpenAI,o3,0.6436731879536927,21.57628205128204,9.159895833333339,10.928044871794873,21.57628205128204
Meta,Llama-4-Scout-17B,0.6196381939677955,32.39709851551957,13.62179487179487,32.39709851551957,14.204545454545453
OpenAI,gpt-4.1-nano,0.6046116246945065,37.70432692307692,10.096153846153847,20.588942307692307,37.70432692307692
Google,gemini-2.0-flash-thinking-exp,0.6033864477470298,49.41379892037789,24.115021008403364,15.918029871977247,49.41379892037789
Anthropic,claude-3-5-sonnet-20241022,0.5918329118666283,14.258814102564148,5.9455128205128185,5.112179487179487,14.258814102564148
Google,gemini-2.5-pro-preview-03-25,0.5844476201495971,38.73444264069256,24.094283428164996,5.086032388663972,38.73444264069256
Anthropic,claude-3-haiku-20240307,0.5841880341880344,49.99999999999999,49.99999999999999,7.756410256410256,29.871794871794908
OpenAI,o3-mini,0.5629320070056033,34.28269230769229,11.854967948717944,11.758814102564095,34.28269230769229
OpenAI,o4-mini,0.5537363660192253,39.41907051282051,16.57175480769231,9.492493252361669,39.41907051282051
Meta,Llama-4-Maverick-17B,0.5419664268585132,33.970352564102555,33.970352564102555,11.342147435897447,9.919871794871774
Google,gemma-3-27b-it,0.5249114029601835,6.40624999999999,2.5600961538461493,1.1217948717948711,6.40624999999999
DeepSeek,DeepSeek-V3,0.5222317569285531,21.00961538461537,8.925280448717928,2.980769230769228,21.00961538461537
DeepSeek,DeepSeek-R1,0.5153271892445414,40.428685897435884,40.428685897435884,6.689703525641023,15.38361378205128
Alibaba,Qwen2.5-VL-7B-Instruct,0.504273504273504,0.6250000000000009,0.6250000000000009,0.0,0.32051282051282054
Google,gemma-3-12b-it,0.4908640521914009,13.612780448717958,1.1057692307692306,5.327524038461532,13.612780448717958
Alibaba,Qwen3-235B-A22B-FP8,0.4841543264531027,69.19895833333334,16.693300189393938,14.61666666666668,69.19895833333334
xAI,grok-2-latest,0.4795136816595229,73.84214743589742,24.534254807692303,7.848557692307695,73.84214743589742
Google,gemini-2.0-flash-lite,0.47223889555822324,40.048076923076906,7.76342147435897,8.925280448717944,40.048076923076906
OpenAI,gpt-4o-mini,0.4517322815474887,54.85176282051283,10.092147435897441,9.391025641025648,54.85176282051283
Google,gemini-2.0-flash,0.4498907491486947,37.154183535762456,0.17528044871794682,12.816506410256403,37.154183535762456
Google,gemma-3-1b-it,0.4174708755542374,147.1910919540229,32.36522988505748,4.787660256410259,147.1910919540229
Anthropic,claude-3-5-haiku-20241022,0.3912325264800612,40.220352564102534,1.7628205128205128,5.223357371794876,40.220352564102534
