developer,model,overall_mean_entropy,parameter_count,log10_parameter_count
Google,gemma-3-12b-it,0.403599949631512,12000000000.0,10.079181246047625
Google,gemma-3-27b-it,0.42879774306591767,27000000000.0,10.431363764158988
Google,gemma-3-1b-it,0.4346131605868372,1000000000.0,9.0
Meta,Llama-4-Maverick-17B,0.46073396485353424,17000000000.0,10.230448921378274
Meta,Llama-4-Scout-17B,0.4623836201102346,17000000000.0,10.230448921378274
Alibaba,Qwen3-235B-A22B-FP8,0.48456994476973536,235000000000.0,11.371067862271737
Alibaba,Qwen2.5-VL-7B-Instruct,0.5133638731007462,7000000000.0,9.845098040014257
Meta,Llama-3.3-70B-Instruct-Turbo,0.5590032931806066,70000000000.0,10.845098040014257
Google,gemma-3-4b-it,0.5990373903032828,4000000000.0,9.602059991327963
