developer,model,r_T_sigma2,abs_r,p_value,n_temperatures,controllability
OpenAI,gpt-4o-mini,-0.9824633457246763,0.9824633457246763,0.017536654275323693,4,0.9824633457246763
Google,gemini-2.0-flash,0.9673543071830173,0.9673543071830173,0.03264569281698271,4,0.9673543071830173
xAI,grok-3-mini-latest,0.9068483014485355,0.9068483014485355,0.09315169855146443,4,0.9068483014485355
Google,gemma-3-12b-it,0.8758524720065759,0.8758524720065759,0.1241475279934241,4,0.8758524720065759
xAI,grok-2-latest,0.863139519840006,0.863139519840006,0.13686048015999397,4,0.863139519840006
Meta,Llama-4-Maverick-17B,-0.8404402324539733,0.8404402324539733,0.15955976754602674,4,0.8404402324539733
Google,gemma-3-4b-it,-0.7691249770585714,0.7691249770585714,0.23087502294142848,4,0.7691249770585714
xAI,grok-3-latest,0.7180758111937722,0.7180758111937722,0.2819241888062278,4,0.7180758111937722
DeepSeek,DeepSeek-V3-0324,-0.7064133576873249,0.7064133576873249,0.29358664231267495,4,0.7064133576873249
Meta,Llama-3.3-70B-Instruct-Turbo,0.700514926468879,0.700514926468879,0.29948507353112097,4,0.700514926468879
DeepSeek,DeepSeek-R1,-0.6976873030370301,0.6976873030370301,0.3023126969629699,4,0.6976873030370301
OpenAI,gpt-4o,-0.6859690750128042,0.6859690750128042,0.31403092498719576,4,0.6859690750128042
Anthropic,claude-3-5-sonnet-20241022,-0.6676522629350182,0.6676522629350182,0.3323477370649819,4,0.6676522629350182
Google,gemini-2.0-flash-lite,0.6213950556944254,0.6213950556944254,0.37860494430557456,4,0.6213950556944254
Google,gemma-3-27b-it,0.6068462250055628,0.6068462250055628,0.39315377499443716,4,0.6068462250055628
Anthropic,claude-3-haiku-20240307,0.5989922558290062,0.5989922558290062,0.40100774417099383,4,0.5989922558290062
Google,gemini-2.0-flash-thinking-exp,0.5900594397602579,0.5900594397602579,0.4099405602397421,4,0.5900594397602579
Google,gemini-2.5-pro-preview-03-25,0.5680990813798286,0.5680990813798286,0.43190091862017144,4,0.5680990813798286
Google,gemini-2.5-flash-preview-04-17,0.5129837361892748,0.5129837361892748,0.48701626381072516,4,0.5129837361892748
Anthropic,claude-3-7-sonnet-20250219,0.48581440642051843,0.48581440642051843,0.5141855935794815,4,0.48581440642051843
OpenAI,gpt-4.1,0.4778566457579835,0.4778566457579835,0.5221433542420164,4,0.4778566457579835
DeepSeek,DeepSeek-V3,0.41584347102078056,0.41584347102078056,0.5841565289792194,4,0.41584347102078056
OpenAI,gpt-4.1-nano,0.23553695089583596,0.23553695089583596,0.764463049104164,4,0.23553695089583596
Alibaba,Qwen3-235B-A22B-FP8,0.21377707608331106,0.21377707608331106,0.7862229239166889,4,0.21377707608331106
OpenAI,gpt-4.1-mini,-0.13408405875717178,0.13408405875717178,0.8659159412428283,4,0.13408405875717178
Meta,Llama-4-Scout-17B,0.1246032025486617,0.1246032025486617,0.8753967974513384,4,0.1246032025486617
Anthropic,claude-3-5-haiku-20241022,-0.12006298244081892,0.12006298244081892,0.8799370175591812,4,0.12006298244081892
xAI,grok-3-mini-fast-latest,-0.07125962726956711,0.07125962726956711,0.9287403727304329,4,0.07125962726956711
xAI,grok-3-fast-latest,-0.06571811858813653,0.06571811858813653,0.9342818814118634,4,0.06571811858813653
Alibaba,Qwen2.5-VL-7B-Instruct,-0.05476341041351496,0.05476341041351496,0.9452365895864849,4,0.05476341041351496
Google,gemma-3-1b-it,-0.039237872092427406,0.039237872092427406,0.9607621279075726,4,0.039237872092427406
