emotion,effect,ss,df,ms,f_statistic,p_value,eta_p2,anova_type
Interest,vendor,103344.88135067045,6,17224.146891778408,34.76827184197827,3.410656668208634e-41,0.04911224174812173,II
Interest,persona,15527.146569009928,3,5175.7155230033095,10.447581840260636,7.619600284690632e-07,0.007700271815014375,II
Interest,vendor:persona,7640.676893487714,18,424.4820496382063,0.8568498275468109,0.6326503930336898,0.003804066760284013,II
Interest,error,2000914.2131677102,4039,495.3984187095098,,,,II
Surprise,vendor,87949.59920911027,6,14658.266534851711,38.21384923785809,2.246924652585993e-45,0.05371787444764206,II
Surprise,persona,22261.723754378225,3,7420.574584792742,19.345310563655946,1.8854141966100444e-12,0.014165346035179802,II
Surprise,vendor:persona,11337.948400715544,18,629.8860222619746,1.642102047641388,0.04250805301764752,0.007264942036654132,II
Surprise,error,1549300.5733537173,4039,383.5851877577909,,,,II
Sadness,vendor,78503.33081793903,6,13083.888469656506,17.42406263061554,5.222377136703231e-20,0.025230663968434063,II
Sadness,persona,5946.104647158785,3,1982.0348823862616,2.6395134754362206,0.047870841564509124,0.0019566839181977976,II
Sadness,vendor:persona,2303.9412770679605,18,127.9967376148867,0.17045568508845604,0.9999666509940173,0.0007590674323165483,II
Sadness,error,3032922.151926157,4039,750.9091735395289,,,,II
Anger,vendor,75019.11314081067,6,12503.185523468446,18.884368861349746,8.550853889181607e-22,0.027287537900931656,II
Anger,persona,6578.414965634572,3,2192.804988544857,3.3119350398314835,0.019216014300924174,0.002453930019569974,II
Anger,vendor:persona,5832.9529382917835,18,324.0529410162102,0.48943809217810735,0.9638169091977187,0.0021764573702974686,II
Anger,error,2674188.7271989863,4039,662.0917868776891,,,,II
