developer,model,n_assessments,mean_avg_score,sigma2_M_avg
Alibaba,Qwen2.5-VL-7B-Instruct,109,36.68577981651376,178.4541709140333
Alibaba,Qwen3-235B-A22B-FP8,80,51.55,147.15253164556964
Anthropic,claude-3-5-haiku-20241022,120,48.677083333333336,91.60440738795519
Anthropic,claude-3-5-sonnet-20241022,120,57.479166666666664,61.63296568627451
Anthropic,claude-3-7-sonnet-20250219,120,51.28125,67.86928834033614
Anthropic,claude-3-haiku-20240307,120,58.0,65.1890756302521
DeepSeek,DeepSeek-R1,120,50.0625,144.27127100840337
DeepSeek,DeepSeek-V3,120,47.427083333333336,103.99936537114847
DeepSeek,DeepSeek-V3-0324,120,51.104166666666664,113.21384803921568
Google,gemini-2.0-flash,119,50.220588235294116,97.58069541375875
Google,gemini-2.0-flash-lite,120,40.916666666666664,107.29341736694678
Google,gemini-2.0-flash-thinking-exp,112,42.263392857142854,189.963782979408
Google,gemini-2.0-pro-exp,23,47.55434782608695,198.50543478260872
Google,gemini-2.5-flash-preview-04-17,109,42.37385321100918,194.52965723751274
Google,gemini-2.5-pro-preview-03-25,99,46.59090909090909,188.13195732838588
Google,gemma-3-12b-it,120,43.354166666666664,125.81363795518209
Google,gemma-3-1b-it,100,65.71,71.46808080808081
Google,gemma-3-27b-it,120,43.75,67.83088235294117
Google,gemma-3-4b-it,120,50.85208333333333,112.32615108543416
Meta,Llama-3.3-70B-Instruct-Turbo,120,46.5,45.52521008403362
Meta,Llama-4-Maverick-17B,120,50.875,203.4296218487395
Meta,Llama-4-Scout-17B,77,47.66233766233766,172.09501025290498
OpenAI,gpt-4.1,120,48.666666666666664,99.33648459383754
OpenAI,gpt-4.1-mini,120,45.947916666666664,91.12384016106444
OpenAI,gpt-4.1-nano,120,44.291666666666664,132.3721988795518
OpenAI,gpt-4o,120,47.427083333333336,69.38802083333334
OpenAI,gpt-4o-mini,120,43.541666666666664,103.97408963585436
OpenAI,o1-mini,120,54.166666666666664,88.21778711484593
OpenAI,o3,120,49.36875,195.40647321428574
OpenAI,o3-mini,120,48.05833333333333,97.34005602240897
OpenAI,o4-mini,119,45.15756302521008,108.41193384133312
xAI,grok-2-latest,120,45.552083333333336,79.19631915266106
xAI,grok-3-fast-latest,120,46.125,109.4905462184874
xAI,grok-3-latest,120,46.291666666666664,115.4394257703081
xAI,grok-3-mini-fast-latest,120,44.5,146.25525210084032
xAI,grok-3-mini-latest,120,45.010416666666664,153.58444940476193
